Question,Binge_Heavy,Description,Sex,Age,Question_additional_comments
Binge drinking prevalence among adults aged >= 18 years,Binge,Prevalence,Adults,>=18,
Binge drinking intensity among adults aged >= 18 years who binge drink,Binge,intensity,Adults,>=18,who Binge drink
Binge drinking prevalence among women aged 18-44 years,Binge,Prevalence,Women,18-44,
Binge drinking frequency among adults aged >= 18 years who binge drink,Binge,frequency,Adults,>=18,who Binge drink
Heavy drinking among adults aged >= 18 years,Heavy,,Adults,>=18,
Heavy drinking among women aged 18-44 years,Heavy,,Women,18-44,
Alcohol use among youth,,,Youth,14 to 18,
Binge drinking prevalence among youth,Binge,Prevalence,Youth,14 to 18,
Per capita alcohol consumption among persons aged >= 14 years,,,,14 to 18,
Alcohol use before pregnancy,,,,,
Chronic liver disease mortality,,,,,
Amount of alcohol excise tax by beverage type (beer),,,,,
Amount of alcohol excise tax by beverage type (wine),,,,,
Amount of alcohol excise tax by beverage type (distilled spirits),,,,,
Commercial host (dram shop) liability laws,,,,,
Local authority to regulate alcohol outlet density,,,,,
