State,People Per Bar
Virginia,"64,773"
New Hampshire,"34,689"
Mississippi,"27,326"
Georgia,"21,812"
Arkansas,"21,445"
Tennessee,"18,889"
New Mexico,"18,759"
Alabama,"18,261"
Utah,"15,739"
North Carolina,"15,701"
Delaware,"15,375"
Maine,"13,553"
Kentucky,"13,321"
South Carolina,"12,855"
California,"12,159"
Connecticut,"11,225"
Arizona,"10,804"
Florida,"10,301"
Oklahoma,"10,192"
Maryland,"10,136"
Texas,"9,909"
Missouri,"8,057"
New Jersey,"8,019"
Washington,"7,851"
Massachusetts,"7,199"
Colorado,"6,452"
Vermont,"6,328"
Kansas,"6,324"
Michigan,"6,104"
Hawaii,"6,056"
Indiana,"5,798"
Washington,"5,670"
NewYork,"5,629"
Louisiana,"5,414"
Minnesota,"5,271"
Ohio,"5,046"
Idaho,"4,832"
Oregon,"4,676"
Illinois,"4,604"
Nevada,"4,494"
Pennsylvania,"4,320"
Alaska,"4,302"
West Virginia,"4,051"
Rhode Island,"3,982"
Wyoming,"3,303"
Iowa,"3,118"
Nebraska,"3,102"
South Dakota,"2,258"
Wisconsin,"1,877"
Montana,"1,658"
North Dakota ,"1,621"
