,YearStart,LocationDesc,DataValue,DataValueUnit,DataValueType,StratificationCategory1,Stratification1,Binge_Heavy,Description,Age,Question_additional_comments,DataSource,Topic,Question,Definition
0,2016,United States,16.9,%,Crude Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
1,2016,Alabama,13,%,Crude Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
2,2016,Alaska,18.2,%,Crude Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
3,2016,Arizona,15.6,%,Crude Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
4,2016,Arkansas,15,%,Crude Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
5,2016,California,16.3,%,Crude Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
6,2016,Colorado,19,%,Crude Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
7,2016,Connecticut,16.7,%,Crude Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
8,2016,Delaware,17,%,Crude Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
9,2016,District of Columbia,25.6,%,Crude Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
10,2016,Florida,15.5,%,Crude Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
11,2016,Georgia,13.3,%,Crude Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
12,2016,Hawaii,18.6,%,Crude Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
13,2016,Idaho,16.1,%,Crude Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
14,2016,Illinois,19.9,%,Crude Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
15,2016,Indiana,17.5,%,Crude Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
16,2016,Iowa,21.2,%,Crude Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
17,2016,Kansas,16,%,Crude Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
18,2016,Kentucky,14.6,%,Crude Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
19,2016,Louisiana,16.9,%,Crude Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
20,2016,Maine,18.3,%,Crude Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
21,2016,Maryland,15.3,%,Crude Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
22,2016,Massachusetts,17.8,%,Crude Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
23,2016,Michigan,19,%,Crude Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
24,2016,Minnesota,21.3,%,Crude Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
25,2016,Mississippi,12.3,%,Crude Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
26,2016,Missouri,18.4,%,Crude Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
27,2016,Montana,18.9,%,Crude Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
28,2016,Nebraska,20,%,Crude Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
29,2016,Nevada,15.8,%,Crude Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
30,2016,New Hampshire,18,%,Crude Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
31,2016,New Jersey,16,%,Crude Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
32,2016,New Mexico,15,%,Crude Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
33,2016,New York,17.5,%,Crude Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
34,2016,North Carolina,14.6,%,Crude Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
35,2016,North Dakota,24.8,%,Crude Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
36,2016,Ohio,17.9,%,Crude Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
37,2016,Oklahoma,11.8,%,Crude Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
38,2016,Oregon,16.3,%,Crude Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
39,2016,Pennsylvania,19.4,%,Crude Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
40,2016,Rhode Island,15.8,%,Crude Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
41,2016,South Carolina,16.8,%,Crude Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
42,2016,South Dakota,19.3,%,Crude Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
43,2016,Tennessee,13.1,%,Crude Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
44,2016,Texas,17.9,%,Crude Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
45,2016,Utah,12.5,%,Crude Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
46,2016,Vermont,18.4,%,Crude Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
47,2016,Virginia,15.8,%,Crude Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
48,2016,Washington,16.4,%,Crude Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
49,2016,West Virginia,11.3,%,Crude Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
50,2016,Wisconsin,24.6,%,Crude Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
51,2016,Wyoming,18.4,%,Crude Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
52,2016,Guam,20.7,%,Crude Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
53,2016,Puerto Rico,12.5,%,Crude Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
54,2016,Virgin Islands,15.2,%,Crude Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
55,2016,United States,17.9,%,Age-adjusted Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
56,2016,Alabama,13.8,%,Age-adjusted Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
57,2016,Alaska,17.8,%,Age-adjusted Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
58,2016,Arizona,16.5,%,Age-adjusted Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
59,2016,Arkansas,15.9,%,Age-adjusted Prevalence,Overall,Overall,Binge,Prevalence,>=18,,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,
